Waktu,USD_beli,USD_jual,SGD_beli,SGD_jual,EUR_beli,EUR_jual,AUD_beli,AUD_jual
07-04-2021 14:25:49,14505.0,14535.0,10832.47,10862.65,17212.82,17262.02,11067.39,11107.56
07-04-2021 14:26:19,14505.0,14535.0,10832.47,10862.65,17212.82,17262.02,11067.39,11107.56
07-04-2021 14:26:49,14505.0,14535.0,10832.47,10862.65,17212.82,17262.02,11067.39,11107.56
07-04-2021 14:27:19,14505.0,14535.0,10832.47,10862.65,17212.82,17262.02,11067.39,11107.56
07-04-2021 14:27:50,14505.0,14535.0,10832.47,10862.65,17212.82,17262.02,11067.39,11107.56
07-04-2021 14:28:20,14505.0,14535.0,10832.47,10862.65,17212.82,17262.02,11067.39,11107.56
07-04-2021 14:28:51,14505.0,14535.0,10832.47,10862.65,17212.82,17262.02,11067.39,11107.56
07-04-2021 14:29:21,14505.0,14535.0,10832.47,10862.65,17212.82,17262.02,11067.39,11107.56
07-04-2021 14:29:51,14505.0,14535.0,10832.47,10862.65,17212.82,17262.02,11067.39,11107.56
07-04-2021 14:30:21,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:30:51,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:31:21,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:31:52,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:32:23,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:32:54,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:33:24,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:33:54,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:34:24,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:34:54,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:35:28,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:35:58,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:36:28,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:36:58,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:37:28,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
07-04-2021 14:37:58,14510.0,14540.0,10837.01,10867.2,17220.21,17272.31,11077.01,11117.19
